"_2014_Rk","_2014_Pk","_2014_Pk_url","_2014_Tm","_2014_Tm_url","_2014_Player","_2014_Player_url","_2014_College","_2014_Yrs","_2014_Totals_G","_2014_Totals_MP","_2014_Totals_PTS","_2014_Totals_TRB","_2014_Totals_AST","_2014_Shooting_FG","_2014_Shooting_3P","_2014_Shooting_FT","_2014_PerGame_MP","_2014_PerGame_PTS","_2014_PerGame_TRB","_2014_PerGame_AST","_2014_Advanced_WS","_2014_Advanced_WS48","_2014_Advanced_BPM","_2014_Advanced_VORP"
"1","1","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=1&pick_overall_max=1&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CLE","https://www.basketball-reference.com/teams/CLE/draft.html","Andrew Wiggins","https://www.basketball-reference.com/players/w/wiggian01.html","Kansas","6","454","16242","8943","1977","1065",".441",".332",".732","35.8","19.7","4.4","2.3","15.0",".044","-1.9","0.2"
"2","2","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=2&pick_overall_max=2&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIL","https://www.basketball-reference.com/teams/MIL/draft.html","Jabari Parker","https://www.basketball-reference.com/players/p/parkeja01.html","Duke","6","285","8258","4255","1633","593",".493",".324",".740","29.0","14.9","5.7","2.1","13.2",".077","-0.8","2.4"
"3","3","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=3&pick_overall_max=3&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","Joel Embiid","https://www.basketball-reference.com/players/e/embiijo01.html","Kansas","4","209","6358","5005","2397","651",".480",".319",".793","30.4","23.9","11.5","3.1","22.8",".172","4.3","10.1"
"4","4","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=4&pick_overall_max=4&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","ORL","https://www.basketball-reference.com/teams/ORL/draft.html","Aaron Gordon","https://www.basketball-reference.com/players/g/gordoaa01.html","Arizona","6","403","11517","5143","2587","964",".448",".319",".701","28.6","12.8","6.4","2.4","21.7",".090","0.0","5.7"
"5","5","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=5&pick_overall_max=5&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","UTA","https://www.basketball-reference.com/teams/UTA/draft.html","Dante Exum","https://www.basketball-reference.com/players/e/exumda01.html","","5","239","4429","1366","424","502",".407",".308",".766","18.5","5.7","1.8","2.1","3.1",".034","-3.3","-1.5"
"6","6","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=6&pick_overall_max=6&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","BOS","https://www.basketball-reference.com/teams/BOS/draft.html","Marcus Smart","https://www.basketball-reference.com/players/s/smartma01.html","Oklahoma State","6","401","11607","3950","1430","1628",".373",".318",".775","28.9","9.9","3.6","4.1","20.7",".086","-0.3","5.0"
"7","7","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=7&pick_overall_max=7&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","LAL","https://www.basketball-reference.com/teams/LAL/draft.html","Julius Randle","https://www.basketball-reference.com/players/r/randlju01.html","Kentucky","6","375","10934","6032","3375","1045",".493",".295",".724","29.2","16.1","9.0","2.8","20.5",".090","-0.5","4.1"
"8","8","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=8&pick_overall_max=8&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","SAC","https://www.basketball-reference.com/teams/SAC/draft.html","Nik Stauskas","https://www.basketball-reference.com/players/s/stausni01.html","Michigan","5","335","6662","2272","688","513",".389",".353",".814","19.9","6.8","2.1","1.5","3.8",".028","-3.0","-1.7"
"9","9","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=9&pick_overall_max=9&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CHH","https://www.basketball-reference.com/teams/CHA/draft.html","Noah Vonleh","https://www.basketball-reference.com/players/v/vonleno01.html","Indiana","6","335","5672","1660","1741","256",".460",".310",".691","16.9","5.0","5.2","0.8","9.3",".079","-2.4","-0.5"
"10","10","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=10&pick_overall_max=10&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","Elfrid Payton","https://www.basketball-reference.com/players/p/paytoel01.html","LA-Lafayette","6","387","11350","4247","1703","2566",".452",".289",".625","29.3","11.0","4.4","6.6","14.9",".063","-0.5","4.3"
